"","last_name","first_name","player_id","team_id","team","position","age","competitive_runs","hp_to_1b","sprint_speed","display_team_name","primary_pos_formatted","fielding_runs_prevented","outs_above_average","outs_above_average_infront","outs_above_average_lateral_toward3bline","outs_above_average_lateral_toward1bline","outs_above_average_behind","outs_above_average_rhh","outs_above_average_lhh","actual_success_rate_formatted","adj_estimated_success_rate_formatted","diff_success_rate_formatted","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff","Name","Team.x","G.x","PA.x","HR.x","R.x","RBI.x","SB.x","BB%.x","K%.x","ISO.x","BABIP.x","AVG.x","OBP.x","SLG.x","wOBA.x","xwOBA.x","wRC+.x","BsR.x","Off.x","Def.x","WAR.x","playerid.x","Team.y","G.y","PA.y","HR.y","R.y","RBI.y","SB.y","BB%.y","K%.y","ISO.y","BABIP.y","AVG.y","OBP.y","SLG.y","wOBA.y","xwOBA.y","wRC+.y","BsR.y","Off.y","Def.y","WAR.y","playerid.y"
"21","Torres","Gleyber",650402,147,"NYY","SS",24,160,4.51,27,"Yankees","SS",-2,-3,-3,-4,4,0,-3,0,"72%","73%","-1%",361,14.2,37.1,111.6,87.1,92,82.1,425,169,389,129,35.7,28,7.8,5.4,2021,516,361,0.259,0.265,-0.006,0.366,0.423,-0.057,0.307,0.331,-0.024,"Gleyber Torres","NYY",127,516,9,50,51,14,9.7,20.2,0.107,0.314,0.259,0.331,0.366,0.307,0.331,94,0.2,-3.5,-2.5,1.2,16997,"NYY",127,516,9,50,51,14,9.7,20.2,0.107,0.314,0.259,0.331,0.366,0.307,0.331,94,0.2,-3.5,-2.5,1.2,16997
"22","Correa","Carlos",621043,117,"HOU","SS",26,226,4.53,26.9,"Astros","SS",7,9,5,3,2,0,6,3,"79%","76%","3%",445,12.1,33.5,116.4,90.2,94,88.5,442,166,386,190,42.7,42,9.4,6.6,2021,640,445,0.279,0.296,-0.017,0.485,0.482,0.003,0.364,0.373,-0.009,"Carlos Correa","HOU",148,640,26,104,92,0,11.7,18.1,0.205,0.308,0.279,0.366,0.485,0.364,0.373,134,-0.6,26.3,15,6.3,14162,"HOU",148,640,26,104,92,0,11.7,18.1,0.205,0.308,0.279,0.366,0.485,0.364,0.373,134,-0.6,26.3,15,6.3,14162
"23","Andrus","Elvis",462101,133,"OAK","SS",32,207,4.53,26.7,"Athletics","SS",6,9,12,0,-2,-1,7,2,"72%","70%","2%",423,8.1,34,109.8,87.8,91.3,86.3,422,146,401,147,34.8,9,2.1,1.7,2021,541,423,0.243,0.273,-0.03,0.32,0.375,-0.055,0.27,0.308,-0.038,"Elvis Andrus","OAK",146,541,3,60,37,12,5.7,15,0.076,0.283,0.243,0.294,0.32,0.27,0.308,72,4.5,-13.8,10.2,1.5,8709,"OAK",146,541,3,60,37,12,5.7,15,0.076,0.283,0.243,0.294,0.32,0.27,0.308,72,4.5,-13.8,10.2,1.5,8709
"24","Rojas","Miguel",500743,146,"MIA","SS",32,207,4.56,26.6,"Marlins","SS",-2,-3,-6,2,1,0,-1,-2,"77%","78%","-1%",423,11.5,32.4,109.4,86.2,89,86.4,409,152,398,139,32.9,12,2.8,2.2,2021,539,423,0.265,0.249,0.016,0.392,0.345,0.047,0.311,0.292,0.019,"Miguel Rojas","MIA",132,539,9,66,48,13,6.9,13.7,0.127,0.295,0.265,0.322,0.392,0.311,0.292,97,1.5,-0.3,4.7,2.2,7802,"MIA",132,539,9,66,48,13,6.9,13.7,0.127,0.295,0.265,0.322,0.392,0.311,0.292,97,1.5,-0.3,4.7,2.2,7802
"25","Seager","Corey",608369,119,"LAD","SS",27,158,4.6,26.5,"Dodgers","SS",-4,-6,-5,0,-2,1,-4,-1,"74%","76%","-2%",290,10.7,36.6,115.3,91,97.3,85.7,464,172,404,143,49.3,36,12.4,8.8,2021,409,290,0.306,0.295,0.011,0.521,0.53,-0.009,0.389,0.392,-0.003,"Corey Seager","LAD",95,409,16,54,57,1,11.7,16.1,0.215,0.336,0.306,0.394,0.521,0.389,0.392,147,-1.9,22.4,0.4,3.7,13624,"LAD",95,409,16,54,57,1,11.7,16.1,0.215,0.336,0.306,0.394,0.521,0.389,0.392,147,-1.9,22.4,0.4,3.7,13624
"26","Simmons","Andrelton",592743,142,"MIN","SS",31,200,4.68,26.2,"Twins","SS",8,11,5,5,1,0,11,0,"80%","76%","4%",354,3.9,28.8,108.2,84.1,87.3,84,408,122,389,77,21.8,2,0.6,0.4,2021,451,354,0.223,0.23,-0.007,0.274,0.281,-0.007,0.252,0.261,-0.009,"Andrelton Simmons","MIN",131,451,3,37,31,1,7.1,13.7,0.051,0.256,0.223,0.283,0.274,0.252,0.261,56,-1.5,-25.6,18.4,0.8,10847,"MIN",131,451,3,37,31,1,7.1,13.7,0.051,0.256,0.223,0.283,0.274,0.252,0.261,56,-1.5,-25.6,18.4,0.8,10847
"27","Galvis","Freddy",520471,143,"PHI","SS",31,114,4.54,25.8,"---","SS",-2,-3,2,-3,-1,-2,1,-5,"71%","73%","-2%",284,14.1,34.9,109.3,86.8,90.9,84.3,416,165,383,90,31.7,14,4.9,3.6,2021,394,284,0.242,0.222,0.02,0.407,0.35,0.057,0.305,0.28,0.025,"Freddy Galvis","- - -",104,394,14,53,40,1,6.9,19.5,0.166,0.269,0.242,0.302,0.407,0.305,0.28,90,0.9,-4,1.1,1,6609,"- - -",104,394,14,53,40,1,6.9,19.5,0.166,0.269,0.242,0.302,0.407,0.305,0.28,90,0.9,-4,1.1,1,6609
"28","Crawford","Brandon",543063,137,"SF","SS",34,178,4.48,25.8,"Giants","SS",13,17,8,8,1,1,11,6,"74%","70%","4%",383,14.7,35.8,109.8,88.8,94.7,83.5,444,178,399,166,43.3,44,11.5,8,2021,549,383,0.298,0.259,0.039,0.522,0.492,0.03,0.377,0.356,0.021,"Brandon Crawford","SFG",138,549,24,79,90,11,10.2,19.1,0.224,0.334,0.298,0.373,0.522,0.377,0.356,139,0.4,27.8,17.2,6.3,5343,"SFG",138,549,24,79,90,11,10.2,19.1,0.224,0.334,0.298,0.373,0.522,0.377,0.356,139,0.4,27.8,17.2,6.3,5343
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jake Cronenworth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SDP",152,643,21,94,71,4,8.6,14,0.194,0.283,0.266,0.34,0.46,0.341,0.348,116,2.1,15.3,3.7,4,18036
"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Javier Baez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"- - -",138,547,31,80,87,18,5.1,33.6,0.229,0.352,0.265,0.319,0.494,0.344,0.325,116,3,14.1,6.8,3.9,12979
